	cell9
536	37.467
537	38.217
538	37
539	37.583
540	37.4
541	36.917
542	37.833
543	36.833
544	37.717
545	37.217
546	37.067
547	37.467
548	37.45
549	37.25
550	38.133
551	36.133
552	36.233
553	37.783
554	37.517
555	38.617
556	37.267
557	37.717
558	37.033
559	37.167
560	36.717
561	38.017
562	37.433
563	37.4
564	37.45
565	37.833
566	37.083
567	38.217
568	37.117
569	37.7
570	37.967
571	37.5
572	37.933
573	37.033
574	37.567
575	37.267
576	37.683
577	37.5
578	36.917
579	37.567
580	38.4
581	37.917
582	37.6
583	37.833
584	37.867
585	36.783
586	37.117
587	38.15
588	37.833
589	37.3
590	37.683
591	37
592	37.333
593	37.433
594	37.533
595	37.35
596	38.4
597	37.4
598	37.033
599	37.233
600	37.083
601	38.133
602	38.167
603	38.1
604	37.733
605	37.783
606	38.133
607	36.833
608	37.833
609	37.383
610	37.433
611	36.9
612	37
613	37.05
614	37
615	37.933
616	37.417
617	38.267
618	37.367
619	37.583
620	38.567
621	37.15
622	38.45
623	37.033
624	38.117
625	39.95
626	40.233
627	40.333
628	40.533
629	41.017
630	41.15
631	40.483
632	40.767
633	41.533
634	40.5
635	39.65
636	39.667
637	40.267
638	40.517
639	39.317
640	40.583
641	38.75
642	40.933
643	38.6
644	40.233
645	39.633
646	40.117
647	39.767
648	38.833
649	38.517
650	38.733
651	38.617
652	38.433
653	37.95
654	38.55
655	38.767
656	38.933
657	39.017
658	36.9
659	38.4
660	38.9
661	37.6
662	38.15
663	38.317
664	38.517
665	38.75
666	37.767
667	38.867
668	37.483
669	38.767
670	38.217
671	37.817
672	37.8
673	37.283
674	38.817
675	36.933
676	37.767
677	36.3
678	37.35
679	37.067
680	37.6
681	37.15
682	37.1
683	36.483
684	37.667
685	38.133
686	37.417
687	37.867
688	37.133
689	36.817
690	36.6
691	37.867
692	36.6
693	37
694	38.083
695	36.733
696	36.833
697	37.6
698	38.767
699	36.4
700	38.117
701	37.867
702	36.483
703	37.533
704	36.617
705	37.567
706	36.333
707	36.733
708	37.4
709	37.767
710	36.783
711	36.6
712	37.383
713	36.833
714	36.883
715	37.033
716	35.817
717	36.4
718	37.25
719	36.333
720	37.917
721	37.017
722	37.35
723	38.117
724	37.867
725	38.567
726	37.533
727	36.9
728	37.683
729	37.55
730	37.567
731	37.35
732	37.65
733	37.3
734	37.867
735	36.8
736	37.45
737	36.833
738	37.217
739	37.4
740	36.883
741	37.45
742	37.483
743	37.217
744	36
745	37.533
746	37.383
747	36.017
748	37.567
749	37.833
750	37.25
751	38.5
752	37.433
753	37.167
754	38.1
755	37.533
756	37.233
757	37.75
758	36.267
759	38.133
760	37.333
761	36.8
762	37.1
763	36.667
764	38.05
765	36.967
766	37.9
767	36.983
768	37.183
769	36.8
770	39.317
771	37.133
772	36.833
773	37.55
774	36.833
775	37.767
776	36.267
777	37.217
778	37.067
779	36.783
780	37.633
781	36.583
782	38.133
783	36.55
784	38.1
785	37.2
786	38.2
787	37.967
788	36.783
789	37.683
790	37.833
791	37.25
792	36.983
