	 cell2
13,3	0,002384
13,338	-0,0001
13,376	0,000204
13,414	0,000587
13,452	0,000941
13,49	0,003646
13,528	0,005461
13,566	0,005163
13,604	0,008849
13,642	0,005882
13,68	0,003139
13,718	0,004049
13,756	0,005527
13,794	-0,000956
13,832	-0,003078
13,87	-0,004572
13,908	-0,001029
13,946	-0,00113
13,984	0,001121
14,022	-0,001707
14,06	-0,006747
14,098	-0,009398
14,136	-0,010734
14,174	-0,009934
14,212	-0,006416
14,25	-0,010254
14,288	-0,010201
14,326	-0,010774
14,364	-0,006814
14,402	-0,007048
14,44	-0,006184
14,478	-0,004082
14,516	-0,004007
14,554	-0,006611
14,592	-0,002618
14,63	-0,002413
14,668	-0,004344
14,706	-0,006997
14,744	-0,008438
14,782	-0,007633
14,82	-0,004158
14,858	-0,004436
14,896	-0,004801
14,934	-0,003857
14,972	-0,002632
15,01	-0,004286
15,048	-0,006893
15,086	-0,009524
15,124	-0,010261
15,162	-0,007471
15,2	-0,006546
15,238	-0,012582
15,276	-0,01092
15,314	-0,010743
15,352	-0,00921
15,39	-0,005259
15,428	-0,004534
15,466	-0,009223
15,504	-0,008219
15,542	-0,006871
15,58	-0,00375
15,618	-0,002956
15,656	-0,002076
15,694	-0,001555
15,732	0,003184
15,77	0,00214
15,808	0,003661
15,846	0,0024
15,884	0,006143
15,922	0,007246
15,96	0,007129
15,998	0,005468
16,036	0,008397
16,074	0,017532
16,112	0,028971
16,15	0,042651
16,188	0,057563
16,226	0,075856
16,264	0,093865
16,302	0,107399
16,34	0,118385
16,378	0,127166
16,416	0,135563
16,454	0,137909
16,492	0,147382
16,53	0,148258
16,568	0,149818
16,606	0,148667
16,644	0,14421
16,682	0,142943
16,72	0,138676
16,758	0,136987
16,796	0,133722
16,834	0,126739
16,872	0,124294
16,91	0,120642
16,948	0,117386
16,986	0,109877
17,024	0,107721
17,062	0,107825
17,1	0,106375
17,138	0,104509
17,176	0,104467
17,214	0,104342
17,252	0,095373
17,29	0,093596
17,328	0,093965
17,366	0,091961
17,404	0,091948
17,442	0,084562
17,48	0,082022
17,518	0,088126
17,556	0,084115
17,594	0,082006
17,632	0,079588
17,67	0,078268
17,708	0,073511
17,746	0,068806
17,784	0,062983
17,822	0,058843
17,86	0,058841
17,898	0,058026
17,936	0,056485
17,974	0,056468
18,012	0,052353
18,05	0,052328
18,088	0,050138
18,126	0,050936
18,164	0,052854
18,202	0,052899
18,24	0,053082
18,278	0,05179
18,316	0,047147
18,354	0,048082
18,392	0,04378
18,43	0,044884
18,468	0,042156
18,506	0,03992
18,544	0,038282
18,582	0,034722
18,62	0,031925
18,658	0,026433
18,696	0,028487
18,734	0,026648
18,772	0,028263
18,81	0,026217
18,848	0,022639
18,886	0,019154
18,924	0,020994
18,962	0,01861
19	0,018635
19,038	0,018785
19,076	0,013379
19,114	0,012449
19,152	0,009231
19,19	0,010594
19,228	0,009326
19,266	0,005935
19,304	0,002891
19,342	0,004975
19,38	0,007857
19,418	0,007093
19,456	0,004558
19,494	0,010461
19,532	0,008617
19,57	0,010692
19,608	0,012953
19,646	0,014984
19,684	0,012574
19,722	0,014515
19,76	0,00979
19,798	0,006327
19,836	0,012129
19,874	0,010269
19,912	0,011811
19,95	0,013447
19,988	0,008215
20,026	0,006421
20,064	0,002554
20,102	0,004193
20,14	0,004471
20,178	0,001664
20,216	-0,000528
20,254	-0,001634
20,292	-0,003889
20,33	-0,009906
20,368	-0,006939
20,406	-0,004613
20,444	-0,006359
20,482	-0,00717
20,52	-0,010267
20,558	-0,007881
20,596	-0,008242
20,634	-0,008715
20,672	-0,008037
20,71	-0,009861
20,748	-0,010543
20,786	-0,011628
20,824	-0,007235
20,862	-0,007724
20,9	-0,006491
20,938	-0,005999
20,976	-0,010162
21,014	-0,008127
21,052	-0,007842
21,09	-0,008142
21,128	-0,005366
21,166	-0,00293
21,204	-0,000297
21,242	0,000911
21,28	0,000546
21,318	0,002593
21,356	0,000609
21,394	0,001456
21,432	0,000356
21,47	0,000969
21,508	0,00189
21,546	-0,000649
21,584	-0,002581
21,622	-0,003335
21,66	-0,005189
21,698	-0,003899
21,736	-0,00517
21,774	-0,007059
21,812	-0,006659
21,85	-0,003734
21,888	-0,002148
21,926	0,001033
21,964	-0,00278
22,002	-0,000879
22,04	-0,003965
22,078	-0,006008
22,116	-0,006271
22,154	-0,002496
22,192	-0,005488
22,23	-0,002667
22,268	-0,002822
22,306	-0,003165
22,344	-0,006374
22,382	-0,005467
22,42	-0,00488
22,458	-0,002331
22,496	-0,000527
22,534	-0,000212
22,572	0,001438
22,61	-0,00361
22,648	-0,002867
22,686	-0,005373
22,724	-0,004462
22,762	-0,007709
22,8	-0,003287
22,838	-0,006831
22,876	-0,00717
22,914	-0,004225
22,952	0,000031
22,99	0,009209
23,028	0,023095
23,066	0,03476
23,104	0,049588
23,142	0,064608
23,18	0,080075
23,218	0,090084
23,256	0,10286
23,294	0,119824
23,332	0,130972
23,37	0,137307
23,408	0,141644
23,446	0,142043
23,484	0,140298
23,522	0,139793
23,56	0,13647
23,598	0,13592
23,636	0,131586
23,674	0,128546
23,712	0,126575
23,75	0,124467
23,788	0,121273
23,826	0,118493
23,864	0,118438
23,902	0,115435
23,94	0,112568
23,978	0,110886
24,016	0,110523
24,054	0,109061
24,092	0,10246
24,13	0,098995
24,168	0,095451
24,206	0,092915
24,244	0,094179
24,282	0,089877
24,32	0,086713
24,358	0,082783
24,396	0,080022
24,434	0,078083
24,472	0,074193
24,51	0,071609
24,548	0,067578
24,586	0,06259
24,624	0,0626
24,662	0,063587
24,7	0,066113
24,738	0,062364
24,776	0,060434
24,814	0,056699
24,852	0,049859
24,89	0,048629
24,928	0,047955
24,966	0,0492
25,004	0,044149
25,042	0,042989
25,08	0,041788
25,118	0,04216
25,156	0,04315
25,194	0,040614
25,232	0,039588
25,27	0,039323
25,308	0,03716
25,346	0,035954
25,384	0,034179
25,422	0,035001
25,46	0,030863
25,498	0,030503
25,536	0,028018
25,574	0,027218
25,612	0,0245
25,65	0,02417
25,688	0,022621
25,726	0,024263
25,764	0,017593
25,802	0,013481
25,84	0,010807
25,878	0,013603
25,916	0,015877
25,954	0,01855
25,992	0,015693
26,03	0,012866
26,068	0,013068
26,106	0,012778
26,144	0,014212
26,182	0,015721
26,22	0,017583
26,258	0,016021
26,296	0,010804
26,334	0,012615
26,372	0,015507
26,41	0,01563
26,448	0,014721
26,486	0,012723
26,524	0,008966
26,562	0,005979
26,6	0,00427
26,638	0,00362
26,676	0,004909
26,714	0,005735
26,752	0,003882
26,79	0,000777
26,828	0,001078
26,866	-0,001303
26,904	-0,002044
26,942	-0,002875
26,98	-0,002093
27,018	-0,001956
27,056	-0,002835
27,094	-0,006345
27,132	-0,004595
27,17	-0,004866
27,208	0,000724
27,246	-0,000088
27,284	-0,000165
27,322	0,000417
27,36	0,00014
27,398	0,002389
27,436	0,001318
27,474	0,00117
27,512	-0,000148
27,55	-0,000935
27,588	-0,003169
27,626	0,001377
27,664	-0,001518
27,702	-0,000754
27,74	0,001397
27,778	-0,000324
27,816	0,000509
27,854	-0,000078
27,892	-0,001642
27,93	-0,00426
27,968	-0,006345
28,006	-0,004149
28,044	-0,004808
28,082	-0,004922
28,12	-0,007728
28,158	-0,005401
28,196	-0,006382
28,234	-0,008016
28,272	-0,005631
28,31	-0,01011
28,348	-0,008871
28,386	-0,007411
28,424	-0,007804
28,462	-0,006919
28,5	-0,006385
28,538	-0,005362
28,576	-0,006711
28,614	-0,003899
28,652	-0,003914
28,69	-0,005543
28,728	-0,006519
28,766	-0,007874
28,804	0,000627
28,842	0,011499
28,88	0,026576
28,918	0,041966
28,956	0,055325
28,994	0,071097
29,032	0,081799
29,07	0,095127
29,108	0,108726
29,146	0,117236
29,184	0,122797
29,222	0,128109
29,26	0,129997
29,298	0,132949
29,336	0,133318
